Ika;MiehetK;MiehetMS;NaisetK;NaisetMS
18;21620;8122;21409;6863
19;22389;7504;23376;5175
20;24071;6516;24601;3911
21;25422;5624;25386;3617
22;25234;5158;25249;3555
23;26315;5167;26397;3798
24;27255;5412;26731;4134
25;28460;5531;27825;4522
26;29163;5898;28688;4940
27;29339;5919;28555;5210
28;30545;6438;29349;5564
29;30086;6493;28795;5789
30;30218;6839;28869;6222
31;29453;6844;28106;6311
32;29173;7147;27825;6632
33;27715;6925;26326;6390
34;27873;7215;26410;6756
35;28449;7683;26939;7199
36;28849;8154;27551;7628
37;29141;8507;27977;7872
38;29028;8455;27361;7849
39;27456;8142;26422;7679
40;27115;8291;25957;7696
41;26614;8244;25936;7633
42;26645;8379;25549;7809
43;26646;8484;26035;7846
44;26779;8602;25702;8172
45;25980;8717;25055;8005
46;24351;8390;23948;7913
47;22071;7965;21371;7357
48;22708;8173;22206;7571
49;22806;8524;22806;8221
50;23274;8995;23337;8648
51;23485;9531;23609;8786
52;24918;10147;25420;9522
53;25105;10744;25814;9880
54;25100;10854;25795;10146
55;24686;11228;25822;10278
56;24973;11471;25855;10837
57;24806;11845;26088;10988
58;24267;11969;25642;10954
59;23722;11882;25163;11359
60;22948;12158;25136;11305
61;22613;12178;24491;11616
62;21379;12042;23505;11420
63;22062;12507;24558;11750
64;22155;12959;24988;12161
65;21586;12833;24737;12035
66;20778;12887;25107;12090
67;20527;12674;24454;11733
68;20906;13159;25062;12144
69;20127;12500;24095;11620
70;20609;12654;24855;11971
71;20950;12680;25611;12218
72;21228;12454;26159;12238
73;20786;12112;25828;11974
74;19862;11162;25158;11487
75;17344;9841;22231;9970
